Codigo E-mec,Curso,Turno,Modalidade,Vagas,Campus
1322751,Bacharelado em Administração,Matutino,Presencial,50, Lagoa do Sino
115084,Bacharelado em Administração,Noturno,Presencial,60, Sorocaba
115102,Bacharelado em Agroecologia,Matutino,Presencial,40, Araras
634,Bacharelado em Biblioteconomia e Ciência da Informação,Noturno,Presencial,48, São Carlos
115104,Bacharelado em Biotecnologia,Matutino,Presencial,40, São Carlos
96779,Bacharelado em Biotecnologia,Matutino,Presencial,30, Araras
614,Bacharelado em Ciência da Computação,Matutino,Presencial,60, São Carlos
112680,Bacharelado em Ciência da Computação,Matutino,Presencial,60, Sorocaba
300621,Bacharelado em Ciências Biológicas,Matutino,Presencial,30, São Carlos
1322704,Bacharelado em Ciências Biológicas,Matutino,Presencial,40, Lagoa do Sino
621,Licenciatura em Ciências Biológicas,Integral,Presencial,30, São Carlos
115078,Licenciatura em Ciências Biológicas,Noturno,Presencial,40, Araras
115096,Licenciatura em Ciências Biológicas,Noturno,Presencial,25, Sorocaba
96403,Licenciatura em Ciências Biológicas,Matutino,Presencial,40, Sorocaba
96401,Bacharelado em Ciências Biológicas,Matutino,Presencial,40, Sorocaba
112676,Bacharelado em Ciências Econômicas,Matutino,Presencial,60, Sorocaba
630,Bacharelado em Ciências Sociais,Matutino,Presencial,90, São Carlos
115074,Licenciatura em Educação Especial,Matutino,Presencial,40, São Carlos
300635,Bacharelado em Educação Física,Matutino,Presencial,30, São Carlos
635,Licenciatura em Educação Física,Noturno,Presencial,30, São Carlos
635,Licenciatura em Educação Física,Matutino,Presencial,30, São Carlos
635,Licenciatura em Educação Física,Integral,Presencial,30, São Carlos
626,Bacharelado em Enfermagem,Matutino,Presencial,30, São Carlos
632,Bacharelado em Engenharia Agronômica,Matutino,Presencial,50, Araras
1270505,Bacharelado em Engenharia Agronômica,Matutino,Presencial,50, Lagoa do Sino
1270501,Bacharelado em Engenharia Ambiental,Matutino,Presencial,50, Lagoa do Sino
615,Bacharelado em Engenharia Civil,Matutino,Presencial,80, São Carlos
1270499,Bacharelado em Engenharia de Alimentos,Matutino,Presencial,50, Lagoa do Sino
631,Bacharelado em Engenharia de Computação,Matutino,Presencial,30, São Carlos
616,Bacharelado em Engenharia de Materiais,Matutino,Presencial,80, São Carlos
87564,Bacharelado em Engenharia de Produção,Matutino,Presencial,100, São Carlos
96407,Bacharelado em Engenharia de Produção,Matutino,Presencial,60, Sorocaba
115110,Bacharelado em Engenharia Elétrica,Matutino,Presencial,60, São Carlos
45108,Bacharelado em Engenharia Física,Matutino,Presencial,40, São Carlos
96436,Bacharelado em Engenharia Florestal,Matutino,Presencial,40, Sorocaba
115106,Bacharelado em Engenharia Mecânica,Matutino,Presencial,60, São Carlos
619,Bacharelado em Engenharia Química,Matutino,Presencial,80, São Carlos
622,Bacharelado em Estatística,Matutino,Presencial,45, São Carlos
5000590,Licenciatura em Filosofia,Noturno,Presencial,18, São Carlos
5000590,Bacharelado em Filosofia,Noturno,Presencial,18, São Carlos
5000889,Licenciatura em Física,Matutino,Presencial,25, São Carlos
5000889,Bacharelado em Física,Matutino,Presencial,25, São Carlos
115100,Licenciatura em Física,Noturno,Presencial,40, Araras
115070,Licenciatura em Física,Noturno,Presencial,30, São Carlos
115088,Licenciatura em Física,Noturno,Presencial,25, Sorocaba
627,Bacharelado em Fisioterapia,Matutino,Presencial,40, São Carlos
115080,Licenciatura em Geografia,Noturno,Presencial,60, Sorocaba
115112,Bacharelado em Gerontologia,Matutino,Presencial,40, São Carlos
115108,Bacharelado em Gestão e Análise Ambiental,Matutino,Presencial,40, São Carlos
639,Bacharelado em Imagem e Som,Matutino,Presencial,44, São Carlos
29672,Licenciatura em Letras - Espanhol,Noturno,Presencial,20, São Carlos
31302,Licenciatura em Letras - Inglês,Noturno,Presencial,20, São Carlos
115082,Bacharelado em Linguística,Matutino,Presencial,40, São Carlos
5000589,Licenciatura em Matemática,Matutino,Presencial,25, São Carlos
5000589,Bacharelado em Matemática,Matutino,Presencial,25, São Carlos
115086,Licenciatura em Matemática,Noturno,Presencial,25, Sorocaba
637,Licenciatura em Matemática,Noturno,Presencial,50, São Carlos
637,Licenciatura em Matemática,Integral,Presencial,30, São Carlos
637,Bacharelado em Matemática,Integral,Presencial,20, São Carlos
90091,Bacharelado em Medicina,Matutino,Presencial,40, São Carlos
81283,Licenciatura em Música,Matutino,Presencial,24, São Carlos
115558,Licenciatura em Pedagogia,Matutino,Presencial,45, São Carlos
115558,Licenciatura em Pedagogia,Noturno,Presencial,45, São Carlos
115076,Licenciatura em Pedagogia,Noturno,Presencial,60, Sorocaba
109478,Bacharelado em Psicologia,Matutino,Presencial,40, São Carlos
300625,Bacharelado em Química,Matutino,Presencial,60, São Carlos
45111,Licenciatura em Química,Noturno,Presencial,30, São Carlos
115098,Licenciatura em Química,Noturno,Presencial,40, Araras
115092,Licenciatura em Química,Noturno,Presencial,25, Sorocaba
628,Bacharelado em Terapia Ocupacional,Matutino,Presencial,40, São Carlos
1305952,Bacharelado em Tradução e Interpretação em Língua Brasileira de Sinais-Libras/Língua Portuguesa,Matutino,Presencial,30, São Carlos
96405,Bacharelado em Turismo,Matutino,Presencial,40, Sorocaba
109343,Licenciatura em Educação Musical,Matutino,EAD,170,EAD
109378,Bacharelado em Engenharia Ambiental,Matutino,EAD,150,EAD
109353,Licenciatura em Pedagogia,Matutino,EAD,210,EAD
99,Licenciatura em Segunda Licenciatura em Educação Especial,Matutino,EAD,600,EAD
108016,Bacharelado em Sistemas de Informação,Matutino,EAD,150,EAD
109341,Bacharelado em Superior de Tecnologia em Produção Sucroalcooleira,Matutino,EAD,125,EAD
